Episode;AvgDrag;AvgLift;AvgRecircArea
1;-1.0106159448623657;-0.4615645110607147;0.9779717922210693
2;-0.9527091204690933;-0.2912639734131892;2.397013571062088
3;-0.8874958485078812;-0.12158590077588935;3.3300110390400888
4;-0.8770237183690072;-0.04860765182401159;3.4206655255937575
5;-0.86890188839674;0.13486266811926573;3.1453714792013168
6;-0.8720951934456825;0.055570271390252064;3.441426595067978
7;-0.8631784753084183;0.14499217807635495;3.4441616469573977
8;-0.859550560309887;0.17909748398670228;3.445317743999958
9;-0.8598239649510384;0.1777709136712944;3.3604310183990003
10;-0.8586425402617455;0.17345441536676018;3.3672125572395326
11;-0.8589849128246307;0.17647183501223604;3.3619505800437928
12;-0.8605592308735848;0.17674984521962528;3.3293017515563963
13;-0.8617905486440659;0.16026630694103136;3.2937107343387604
14;-0.8616593735432625;0.17671063033928977;3.2683671610975265
