Episode;AvgDrag;AvgLift;AvgRecircArea
1;-1.0251566171646118;-0.6817368268966675;0.7236658334732056
2;-0.9533890459918976;-0.3068370783145293;2.4675034824228286
3;-0.8838623726558685;-0.09731194962499722;3.4061871997499464
4;-0.8788000935339928;-0.04443735154136006;3.402585971059799
5;-0.8698174237394333;0.13711624702107503;3.157382287955284
6;-0.8725849962997436;0.045614765718882955;3.4405031037282945
7;-0.8630223325133324;0.14210935135660083;3.4685550208306313
8;-0.8605852581214904;0.1843390501265401;3.3985522653985023
9;-0.8607885896611214;0.17375635489178065;3.347525174584389
10;-0.8586042255449295;0.181496623945632;3.372723581557274
11;-0.859820541639328;0.1683389806804026;3.350231249022484
12;-0.8607860065340995;0.17441568545714284;3.3338907495260237
13;-0.8606622684121132;0.17622127361595957;3.3350701495552064
14;-0.8602716880488396;0.17177194618118635;3.3235005131149293
